Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
reversible-gaming-partners-table-neoclassical-style,Reversible Gaming Partners Table - Neoclassical Style,"<p>Neo-classical style gaming table with reversible top will afford a game of checkers, chess, or not. With private drawers for each partner and side drawers and side stations for cockt...</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Late 20th Century American Game Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,"20th Century, Wood",TRUE,Title,Default Title,,,,,ANT-TABLE-006,25000,shopify,1,deny,manual,4200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/22_13/chesstable3/ChessTable3_l.jpg?width=2000&quality=90,1,Reversible Gaming Partners Table - Neoclassical Style,FALSE,Reversible Gaming Partners Table - Neoclassical St | Antique Furniture Co.,"Neo-classical style gaming table with reversible top will afford a game of checkers, chess, or not. With private drawers for each partner and side drawers ",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
reversible-gaming-partners-table-neoclassical-style,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/reversible-gaming-partners-table-neoclassical-style-for-sale/f_8899/f_815596/ORG_1642112960553_master.jpg?width=2000&quality=90,2,Reversible Gaming Partners Table - Neoclassical Style - Image 2,,,,,,,,,,,,,,,,,,,,
mrs-dwight-d-eisenhower-s-ceremonial-robe-embroidery,Mrs. Dwight D. Eisenhower's Ceremonial Robe Embroidery,"<p>These items were presented to Mrs. Dwight D. Eisenhower by Mr. Edwin J. Owen later to be presented to Mary Jane McCaffree, Mrs. Eisenhower's personal White House secretary.</p><p><strong>Category:</strong> Antique 18th Century and Earlier Asian Decorative Art</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"Asian, Antique, 18th Century",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-007,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesD/upload/8899/11/8899_1294864969_6_1-01.jpg?width=2000&quality=90,1,Mrs. Dwight D. Eisenhower's Ceremonial Robe Embroidery,FALSE,Mrs. Dwight D. Eisenhower's Ceremonial Robe Embroi | Antique Furniture Co.,"These items were presented to Mrs. Dwight D. Eisenhower by Mr. Edwin J. Owen later to be presented to Mary Jane McCaffree, Mrs. Eisenhower's personal White",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
french-roccoco-style-chest-of-drawers-with-attached-mirror,French Roccoco Style Chest of Drawers with Attached Mirror,"<p>This french style chest of drawers with attached pivoting landscape mirror features cabriole legs with scroll feet, two wide drawers and two half width drawers, half drawers with roc...</p><p><strong>Materials:</strong> Mahogany</p><p><strong>Category:</strong> Early 20th Century American Dressers</p>",Antique Furniture Co.,Home & Garden > Decor > Mirrors,Mirror,"20th Century, French, Mahogany",TRUE,Title,Default Title,,,,,ANT-MIRROR-008,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/324/XXX_8899_1333124557_1.jpg?width=2000&quality=90,1,French Roccoco Style Chest of Drawers with Attached Mirror,FALSE,French Roccoco Style Chest of Drawers with Attache | Antique Furniture Co.,"This french style chest of drawers with attached pivoting landscape mirror features cabriole legs with scroll feet, two wide drawers and two half width dra",Home & Garden > Decor > Mirrors,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
queen-anne-style-chest-of-drawers,Queen Anne Style Chest of Drawers,<p>Fine 6 drawer high chest with fan-carved center and cabriole legs ending in pad feet. Unpolished wood with iron handles and keyholes with keys.</p><p><strong>Materials:</strong> Iron</p><p><strong>Category:</strong> 20th Century Unknown Queen Anne Commodes and Chests of Drawers</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Iron",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-009,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/22_13/chestdrws_shell2/ChestDrws_Shell2_l.jpg?width=2000&quality=90,1,Queen Anne Style Chest of Drawers,FALSE,Queen Anne Style Chest of Drawers | Antique Furniture Co.,Fine 6 drawer high chest with fan-carved center and cabriole legs ending in pad feet. Unpolished wood with iron handles and keyholes with keys.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
queen-anne-style-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/22_13/chestdrws_shell1/ORG_ChestDrws_Shell1.jpg?width=2000&quality=90,2,Queen Anne Style Chest of Drawers - Image 2,,,,,,,,,,,,,,,,,,,,
french-tin-amp-slate-secretary-with-chair,French Tin &amp; Slate Secretary with Chair,"<p>Romantic French hand painted anodized tin with slate table top and wrought iron chair with intricate scroll work.</p><p><strong>Materials:</strong> Slate, Tin, Iron</p><p><strong>Category:</strong> Antique 19th Century French Desks and Writing Tables</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"19th Century, Antique, French, Slate, Tin, Iron",TRUE,Title,Default Title,,,,,ANT-CHAIR-010,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesD/upload/8899/54/XXX_8899_1275372303_1-01.jpg?width=2000&quality=90,1,French Tin &amp; Slate Secretary with Chair,FALSE,French Tin &amp; Slate Secretary with Chair | Antique Furniture Co.,Romantic French hand painted anodized tin with slate table top and wrought iron chair with intricate scroll work.,Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
queen-ann-style-dark-walnut-and-marble-marquetry-side-table,Queen Ann Style Dark Walnut and Marble Marquetry Side Table,"<p>Lovely little side table with cabinet door, walnut marquetry, marble top, with carved cabriole legs. Recently imported from England.</p><p><strong>Materials:</strong> Marble</p><p><strong>Category:</strong> Antique 19th Century French Side Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,"19th Century, Antique, French, Marble",TRUE,Title,Default Title,,,,,ANT-TABLE-011,25000,shopify,1,deny,manual,3200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/08_15/org_ornate_marble_lined_side9/Ornate_marble_lined_side9_l_s.jpeg?width=2000&quality=90,1,Queen Ann Style Dark Walnut and Marble Marquetry Side Table,FALSE,Queen Ann Style Dark Walnut and Marble Marquetry S | Antique Furniture Co.,"Lovely little side table with cabinet door, walnut marquetry, marble top, with carved cabriole legs. Recently imported from England.",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
large-tiffany-style-chandelier,Large Tiffany Style Chandelier,"<p>Beautiful large tiffany style glass has been forged in a black iron chandelier. These beautiful colors of rose, peach and green tones make a scrumptious contrast.</p><p><strong>Materials:</strong> Iron</p><p><strong>Category:</strong> Vintage 1940s American Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,Iron,TRUE,Title,Default Title,,,,,ANT-LIGHTING-012,5000,shopify,1,deny,manual,50000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/04_13/tiffanychandelier3/TiffanyChandelier3_l_s.jpg?width=2000&quality=90,1,Large Tiffany Style Chandelier,FALSE,Large Tiffany Style Chandelier | Antique Furniture Co.,"Beautiful large tiffany style glass has been forged in a black iron chandelier. These beautiful colors of rose, peach and green tones make a scrumptious co",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
hand-carved-gilt-wood-torchiere-floor-lamp-by-fredrick-cooper,Hand Carved Gilt Wood Torchiere Floor Lamp by Fredrick Cooper,<p>This torchiere was designed by Fredrick Cooper and features a classic floor lamp design. Its turned body sits on base composed of three scroll feet. Three gilt relief rosettes add fu...</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Early 20th Century American Floor Lamps</p>,Antique Furniture Co.,Home & Garden > Lighting,Lighting,"20th Century, Wood",TRUE,Title,Default Title,,,,,ANT-LIGHTING-013,5000,shopify,1,deny,manual,2000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/259/XXX_8899_1320958735_1-01.jpg?width=2000&quality=90,1,Hand Carved Gilt Wood Torchiere Floor Lamp by Fredrick Cooper,FALSE,Hand Carved Gilt Wood Torchiere Floor Lamp by Fred | Antique Furniture Co.,This torchiere was designed by Fredrick Cooper and features a classic floor lamp design. Its turned body sits on base composed of three scroll feet. Three ,Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-oak-normandy-servers-made-in-italy-for-bloomingdales,Pair of Oak Normandy Servers made in Italy for Bloomingdales,"<p>Made in Italy expressly for Bloomingdale's by Guido Zichele SRL. Solid oak. Style 3435. Intricate carving adorned with detailed brass hardware, three drawers and two cabinet doors each.</p><p><strong>Materials:</strong> Oak</p><p><strong>Category:</strong> 20th Century Italian Sideboards</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Italian, Oak",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-014,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/13_13/bloomindaleschest1/ORG_BloomindalesChest1.jpg?width=2000&quality=90,1,Pair of Oak Normandy Servers made in Italy for Bloomingdales,FALSE,Pair of Oak Normandy Servers made in Italy for Blo | Antique Furniture Co.,"Made in Italy expressly for Bloomingdale's by Guido Zichele SRL. Solid oak. Style 3435. Intricate carving adorned with detailed brass hardware, three drawe",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-roccoco-eglomise-lamps,Pair of Roccoco Eglomise Lamps,"<p>Fabulous Eglomise gold leaf painted Roccoco style lamps with pleated silk &amp; crystal shades. Grandiose Scale, over four feet tall!</p><p><strong>Materials:</strong> Crystal, Gold Leaf, Brass</p><p><strong>Category:</strong> 20th Century Unknown Table Lamps</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,"20th Century, Crystal, Gold Leaf, Brass",TRUE,Title,Default Title,,,,,ANT-LIGHTING-015,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesD/upload/8899/25/8899_1275357711_3.jpg?width=2000&quality=90,1,Pair of Roccoco Eglomise Lamps,FALSE,Pair of Roccoco Eglomise Lamps | Antique Furniture Co.,"Fabulous Eglomise gold leaf painted Roccoco style lamps with pleated silk &amp; crystal shades. Grandiose Scale, over four feet tall!",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-roccoco-eglomise-lamps,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesD/upload/8899/37/8899_1272735954_1_1.jpg?width=2000&quality=90,2,Pair of Roccoco Eglomise Lamps - Image 2,,,,,,,,,,,,,,,,,,,,
victorian-paintings-in-the-style-of-louis-xv,Victorian Paintings in the Style of Louis XV,<p>This beautiful hand painted floral still life is blossoming with meaning.  In the Victorian-era  floral arrangements were used as a means of communicating things that could not be sa...</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Early 20th Century French Paintings</p>,Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,"Victorian, 20th Century, French, Wood, Louis",TRUE,Title,Default Title,,,,,ANT-PAINTING-016,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/100/XXX_8899_1289421451_18-01.jpg?width=2000&quality=90,1,Victorian Paintings in the Style of Louis XV,FALSE,Victorian Paintings in the Style of Louis XV | Antique Furniture Co.,This beautiful hand painted floral still life is blossoming with meaning.  In the Victorian-era  floral arrangements were used as a means of communicating ,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
rose-silver-rhana-oil-painting-of-ballet-dancer,Rose Silver -Rhana Oil Painting of Ballet Dancer,"<p>This painting is from Lisa Rhana's (a.k.a. Rose Silver) solo show ""A Tribute to the Ballet""  at the Hammer Gallery in New York in 1975. Lisa Rhana was born Rose Silver and was a well...</p><p><strong>Materials:</strong> Acrylic, Canvas</p><p><strong>Category:</strong> Vintage 1970s American Contemporary Art</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,"Acrylic, Canvas",TRUE,Title,Default Title,,,,,ANT-PAINTING-017,5000,shopify,1,deny,manual,2100,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/135/XXX_8899_1299787989_1-01.jpg?width=2000&quality=90,1,Rose Silver -Rhana Oil Painting of Ballet Dancer,FALSE,Rose Silver -Rhana Oil Painting of Ballet Dancer | Antique Furniture Co.,"This painting is from Lisa Rhana's (a.k.a. Rose Silver) solo show ""A Tribute to the Ballet""  at the Hammer Gallery in New York in 1975. Lisa Rhana was born","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
memphis-style-cow-hide-and-ultra-suede-oversized-chair,Memphis Style Cow Hide and Ultra Suede Oversized Chair,"<p>This imaginative, over-sized arm chair is a delightfully comical example of the post-modern furniture design movement known as Memphis Style. Memphis Style is a reiteration of the Po...</p><p><strong>Category:</strong> Vintage 1970s American Armchairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,,TRUE,Title,Default Title,,,,,ANT-CHAIR-018,10000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/208/8899_1312575082_2.jpg?width=2000&quality=90,1,Memphis Style Cow Hide and Ultra Suede Oversized Chair,FALSE,Memphis Style Cow Hide and Ultra Suede Oversized C | Antique Furniture Co.,"This imaginative, over-sized arm chair is a delightfully comical example of the post-modern furniture design movement known as Memphis Style. Memphis Style",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
memphis-style-cow-hide-and-ultra-suede-oversized-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/207/XXX_8899_1312572950_1.jpg?width=2000&quality=90,2,Memphis Style Cow Hide and Ultra Suede Oversized Chair - Image 2,,,,,,,,,,,,,,,,,,,,
memphis-style-cow-hide-and-ultra-suede-oversized-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/207/XXX_8899_1312572950_1-01.jpg?width=2000&quality=90,3,Memphis Style Cow Hide and Ultra Suede Oversized Chair - Image 3,,,,,,,,,,,,,,,,,,,,
pair-of-mounted-white-tailed-deer-antlers,Pair of Mounted White-tailed Deer Antlers,"<p>Pair of trophy mounted deer antlers, plywood backing with markings, taxidermist mounted on oval wood placks</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Vintage 1950s North American Wall-mounted Sculptures</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,Wood,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-019,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/50_14/1455332/1455332_l_s.jpeg?width=2000&quality=90,1,Pair of Mounted White-tailed Deer Antlers,FALSE,Pair of Mounted White-tailed Deer Antlers | Antique Furniture Co.,"Pair of trophy mounted deer antlers, plywood backing with markings, taxidermist mounted on oval wood placks",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
twin-wood-and-suede-screens,Twin Wood and Suede Screens,<p>Caramel suede with black stained framed designer screens. Appeared in Elle Decor Magazine</p><p><strong>Category:</strong> 20th Century American Paintings and Screens</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,20th Century,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-020,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/13_13/tallscreen20/ORG_TallScreen2.jpg?width=2000&quality=90,1,Twin Wood and Suede Screens,FALSE,Twin Wood and Suede Screens | Antique Furniture Co.,Caramel suede with black stained framed designer screens. Appeared in Elle Decor Magazine,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
ralph-lauren-style-leather-chair,Ralph Lauren Style Leather Chair,"<p>Handsome cozy chair with buttons and ostrich-like dappled leather. This chair does not have the tag. We were told at market it was a Ralph Lauren chair.
There is a swivel with a hole...</p><p><strong>Materials:</strong> Leather</p><p><strong>Category:</strong> 20th Century American Lounge Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, Leather",TRUE,Title,Default Title,,,,,ANT-CHAIR-021,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/364/8899_1343874470_2.jpg?width=2000&quality=90,1,Ralph Lauren Style Leather Chair,FALSE,Ralph Lauren Style Leather Chair | Antique Furniture Co.,"Handsome cozy chair with buttons and ostrich-like dappled leather. This chair does not have the tag. We were told at market it was a Ralph Lauren chair.
Th",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
ralph-lauren-style-leather-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/361/XXX_8899_1343828765_1.jpg?width=2000&quality=90,2,Ralph Lauren Style Leather Chair - Image 2,,,,,,,,,,,,,,,,,,,,
ralph-lauren-style-leather-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/361/XXX_8899_1343828765_1-01.jpg?width=2000&quality=90,3,Ralph Lauren Style Leather Chair - Image 3,,,,,,,,,,,,,,,,,,,,
antique-english-riding-saddle,Antique English Riding Saddle,"<p>This classic English riding saddle has a rich velvety texture. Weathered by age and wear, the dark rich muted tones are set off by the sun kissed golden spots. Hand stitching can bee...</p><p><strong>Category:</strong> 20th Century English More Furniture and Collectibles</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Antique, English",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-022,5000,shopify,1,deny,manual,1370,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/124/8899_1299090048_2_1-01.jpg?width=2000&quality=90,1,Antique English Riding Saddle,FALSE,Antique English Riding Saddle | Antique Furniture Co.,"This classic English riding saddle has a rich velvety texture. Weathered by age and wear, the dark rich muted tones are set off by the sun kissed golden sp",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
brass-hearth-bench,Brass Hearth Bench,<p>Antique brass hearth bench with brass handles and hardware used for warming tea kettles or irons near the fire.</p><p><strong>Category:</strong> Antique 19th Century Austrian Andirons</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-023,5000,shopify,1,deny,manual,2000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/52_12/BrassBrnch1/ORG_BrassBrnch1.jpg?width=2000&quality=90,1,Brass Hearth Bench,FALSE,Brass Hearth Bench | Antique Furniture Co.,Antique brass hearth bench with brass handles and hardware used for warming tea kettles or irons near the fire.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
antique-brass-hearth-bench,Antique Brass Hearth Bench,<p>Beautiful antique brass bench andiron used for warming tea kettles and irons by the fireplace.</p><p><strong>Category:</strong> Antique 19th Century Austrian Benches</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-024,5000,shopify,1,deny,manual,2200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/52_12/BrassBench5/XXX_BrassBench5-01.jpg?width=2000&quality=90,1,Antique Brass Hearth Bench,FALSE,Antique Brass Hearth Bench | Antique Furniture Co.,Beautiful antique brass bench andiron used for warming tea kettles and irons by the fireplace.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
