Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
french-country-provence-chair-and-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/f_8899/f_77152931497445239085/_MG_4168_s.jpg?width=2000&quality=90,3,French Country Provence Chair and Ottoman - Image 3,,,,,,,,,,,,,,,,,,,,
french-country-provence-chair-and-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_77152931499663874418/7715293_s.jpg?width=2000&quality=90,4,French Country Provence Chair and Ottoman - Image 4,,,,,,,,,,,,,,,,,,,,
national-trust-john-locke-secretaire,National Trust John Locke Secretaire,"<p>This very rare Kindel reproduction is part of The National for Historic Preservation Collection, The Cliveden desk and bookcase is truly a masterpiece. An outstanding example of the ...</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Mid-20th Century American Rococo Secretaires</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,20th Century,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-006,5000,shopify,1,deny,manual,15000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/08_15/org_img_1272/ORG_ORG_IMG_1272.jpeg?width=2000&quality=90,1,National Trust John Locke Secretaire,FALSE,National Trust John Locke Secretaire | Antique Furniture Co.,"This very rare Kindel reproduction is part of The National for Historic Preservation Collection, The Cliveden desk and bookcase is truly a masterpiece. An ",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
mid-century-six-leg-rattan-armchair,Mid-Century Six-Leg Rattan Armchair,"<p>Gorgeous caning and antique style with newly upholstered fabric seat cushion with tiebacks.</p><p><strong>Materials:</strong> Rattan</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Mid-20th Century American Armchairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"Mid-Century, 20th Century, Rattan",TRUE,Title,Default Title,,,,,ANT-CHAIR-007,10000,shopify,1,deny,manual,2560,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_28278821456837030059/2827882_s.jpeg?width=2000&quality=90,1,Mid-Century Six-Leg Rattan Armchair,FALSE,Mid-Century Six-Leg Rattan Armchair | Antique Furniture Co.,Gorgeous caning and antique style with newly upholstered fabric seat cushion with tiebacks.,Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
gigantic-antique-indian-brass-and-bronze-water-vessel-lota-pot,Gigantic Antique Indian Brass and Bronze Water Vessel Lota Pot,"<p>India water vessel also called a Lota Pot was used to store water in India and local regions. It was hand-forged of a bronze and brass alloy. It has marked by artist.
Beautiful pati...</p><p><strong>Materials:</strong> Brass</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Early 20th Century Indian International Style Urns</p>",Antique Furniture Co.,Home & Garden > Decor > Vases,Decorative Vessel,"Indian, 20th Century, Antique, Brass",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-008,5000,shopify,1,deny,manual,3200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_77150031499689399683/7715003_s.jpg?width=2000&quality=90,1,Gigantic Antique Indian Brass and Bronze Water Vessel Lota Pot,FALSE,Gigantic Antique Indian Brass and Bronze Water Ves | Antique Furniture Co.,India water vessel also called a Lota Pot was used to store water in India and local regions. It was hand-forged of a bronze and brass alloy. It has marked,Home & Garden > Decor > Vases,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
teak-thai-lounge,Teak Thai Lounge,"<p>Teak Thai lounge with cantilevered headrest, baluster shaped legs and split bamboo mattress made of pegged construction.</p><p><strong>Materials:</strong> Bamboo, Teak</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Late 20th Century Thai Chaise Longues</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Bamboo, Teak",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-009,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/44_13/938596/938596_l_s.jpg?width=2000&quality=90,1,Teak Thai Lounge,FALSE,Teak Thai Lounge | Antique Furniture Co.,"Teak Thai lounge with cantilevered headrest, baluster shaped legs and split bamboo mattress made of pegged construction.",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
set-of-four-eames-for-herman-miller-pedestal-chairs,Set of Four Eames for Herman Miller Pedestal Chairs,"<p>Four Herman Miller black leather upholstered pedestal chairs, underside stamped, December 19th 1975 on black aluminum and steel pedestal bases.</p><p><strong>Materials:</strong> Upholstery</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Vintage 1970s American Mid-Century Modern Side Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"Mid-Century, Modern, Upholstery",TRUE,Title,Default Title,,,,,ANT-CHAIR-010,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/49_13/984160/984160_l_s.jpg?width=2000&quality=90,1,Set of Four Eames for Herman Miller Pedestal Chairs,FALSE,Set of Four Eames for Herman Miller Pedestal Chair | Antique Furniture Co.,"Four Herman Miller black leather upholstered pedestal chairs, underside stamped, December 19th 1975 on black aluminum and steel pedestal bases.",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-midcentury-leather-chairs-designer-sedus,"Pair of Midcentury Leather Chairs, Designer Sedus","<p>1960s style side office chairs with tubular chrome legs, molded plastic shell with sectioned and boxed attached leather upholstery. Recently shipped from the South of England.</p><p><strong>Materials:</strong> Metal</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Vintage 1960s German Modern Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"Modern, Metal",TRUE,Title,Default Title,,,,,ANT-CHAIR-011,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/20_14/redchairs9/RedChairs9_l.jpeg?width=2000&quality=90,1,"Pair of Midcentury Leather Chairs, Designer Sedus",FALSE,"Pair of Midcentury Leather Chairs, Designer Sedus | Antique Furniture Co.","1960s style side office chairs with tubular chrome legs, molded plastic shell with sectioned and boxed attached leather upholstery. Recently shipped from t",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-midcentury-leather-chairs-designer-sedus,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/18_14/1138000/1138000/1138000_l.jpg?width=2000&quality=90,2,"Pair of Midcentury Leather Chairs, Designer Sedus - Image 2",,,,,,,,,,,,,,,,,,,,
pair-of-midcentury-leather-chairs-designer-sedus,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/18_14/1138000/1138000/1138000_l_s.jpg?width=2000&quality=90,3,"Pair of Midcentury Leather Chairs, Designer Sedus - Image 3",,,,,,,,,,,,,,,,,,,,
louis-xv-bergere,Louis XV Bergere,"<p>Striped taffeta upholstery with carved fruitwood motif.</p><p><strong>Materials:</strong> Fruitwood</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> 20th Century French Bergere Chairs</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, French, Fruitwood, Louis",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-012,5000,shopify,1,deny,manual,7200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/356/XXX_8899_1343827357_1-01.jpg?width=2000&quality=90,1,Louis XV Bergere,FALSE,Louis XV Bergere | Antique Furniture Co.,Striped taffeta upholstery with carved fruitwood motif.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
italian-midcentury-five-piece-pewter-coffee-and-tea-service,Italian Midcentury Five-Piece Pewter Coffee and Tea Service,"<p>Exquisite Italian five-piece pewter tea set. Coffee and tea pots, cream and sugar.
Tray with nice handles.</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Early 20th Century Italian More Dining and Entertaining</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Italian",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-013,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/16_15/2076962/2076962_l_s.jpeg?width=2000&quality=90,1,Italian Midcentury Five-Piece Pewter Coffee and Tea Service,FALSE,Italian Midcentury Five-Piece Pewter Coffee and Te | Antique Furniture Co.,"Exquisite Italian five-piece pewter tea set. Coffee and tea pots, cream and sugar.
Tray with nice handles.",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-limoges-busts-signed-by-gamout-labesse,Pair of Limoges Busts Signed by Gamout Labesse,"<p>Gorgeous pair of porcelain busts of Louise and Alexandre Brongniart in bisque porcelain on royal blue enameled base, by Tharaud, Limoges, after the originals by Jean-Antoine Houdon (...</p><p><strong>Materials:</strong> Porcelain</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Vintage 1950s French Porcelain</p>",Antique Furniture Co.,Home & Garden > Decor > Artwork > Sculptures & Statues,Sculpture,"French, Porcelain",TRUE,Title,Default Title,,,,,ANT-SCULPTURE-014,15000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesD/upload/8899/9/8899_1269670070_2.jpg?width=2000&quality=90,1,Pair of Limoges Busts Signed by Gamout Labesse,FALSE,Pair of Limoges Busts Signed by Gamout Labesse | Antique Furniture Co.,"Gorgeous pair of porcelain busts of Louise and Alexandre Brongniart in bisque porcelain on royal blue enameled base, by Tharaud, Limoges, after the origina",Home & Garden > Decor > Artwork > Sculptures & Statues,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-limoges-busts-signed-by-gamout-labesse,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesD/upload/8899/9/8899_1269670070_1_1.jpg?width=2000&quality=90,2,Pair of Limoges Busts Signed by Gamout Labesse - Image 2,,,,,,,,,,,,,,,,,,,,
pair-of-limoges-busts-signed-by-gamout-labesse,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesD/upload/8899/9/8899_1269670070_1_1-01.jpg?width=2000&quality=90,3,Pair of Limoges Busts Signed by Gamout Labesse - Image 3,,,,,,,,,,,,,,,,,,,,
pair-of-heartback-hepplewhite-chairs,Pair of Heartback Hepplewhite Chairs,"<p>This stunning pair of heartback Hepplewhite mahogany chairs were created during the American Federal period, and popular throughout the eastern seaboard to the Carolinas from 1780 -1...</p><p><strong>Materials:</strong> Mahogany</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Antique 19th Century American Armchairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"19th Century, Antique, Mahogany",TRUE,Title,Default Title,,,,,ANT-CHAIR-015,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/353/XXX_8899_1342527540_1.jpg?width=2000&quality=90,1,Pair of Heartback Hepplewhite Chairs,FALSE,Pair of Heartback Hepplewhite Chairs | Antique Furniture Co.,"This stunning pair of heartback Hepplewhite mahogany chairs were created during the American Federal period, and popular throughout the eastern seaboard to",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-louis-xv-bergere-chairs-with-carved-shell-motifs,Pair of Louis XV Bergere Chairs with Carved Shell Motifs,"<p>Louis XV chairs, cabriole legs, carved fruitwood cream colored frame with shell motif, beautifully reupholstered (edged ogee) which looks to be pale silk fabric with white fern print...</p><p><strong>Materials:</strong> Fruitwood</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Early 20th Century French Louis XV Bergere Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, French, Fruitwood, Louis",TRUE,Title,Default Title,,,,,ANT-CHAIR-016,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_77153231499663888125/7715323_s.jpg?width=2000&quality=90,1,Pair of Louis XV Bergere Chairs with Carved Shell Motifs,FALSE,Pair of Louis XV Bergere Chairs with Carved Shell  | Antique Furniture Co.,"Louis XV chairs, cabriole legs, carved fruitwood cream colored frame with shell motif, beautifully reupholstered (edged ogee) which looks to be pale silk f",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-versant-chairs,Pair of Versant Chairs,"<p>Pair of beautiful Versant chairs with tan-taupe-sand silken Moire upholstery and elegantly lined carved walnut frame with cabriole legs.</p><p><strong>Materials:</strong> Silk, Upholstery, Walnut</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> 20th Century American Bergere Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, Silk, Upholstery, Walnut",TRUE,Title,Default Title,,,,,ANT-CHAIR-017,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/77/8899_1278597870_2.jpg?width=2000&quality=90,1,Pair of Versant Chairs,FALSE,Pair of Versant Chairs | Antique Furniture Co.,Pair of beautiful Versant chairs with tan-taupe-sand silken Moire upholstery and elegantly lined carved walnut frame with cabriole legs.,Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-versant-chairs,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/77/8899_1278597870_1_1.jpg?width=2000&quality=90,2,Pair of Versant Chairs - Image 2,,,,,,,,,,,,,,,,,,,,
pair-of-versant-chairs,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/77/8899_1278597870_1_1-01.jpg?width=2000&quality=90,3,Pair of Versant Chairs - Image 3,,,,,,,,,,,,,,,,,,,,
antique-french-wooden-lamp-with-hand-painted-musical-instruments,Antique French Wooden Lamp with Hand-Painted Musical Instruments,"<p>This whimsical musical table lamp features delicately painted friezes of musical instruments, the French horn and the Violin on the base of the lamp, with lyrically strewn garlands a...</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Early 20th Century French Table Lamps</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,"20th Century, Antique, French",TRUE,Title,Default Title,,,,,ANT-LIGHTING-018,5000,shopify,1,deny,manual,2500,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/07_14/org_gold_violin_lamp_2/ORG_ORG_gold_violin_lamp_2.jpg?width=2000&quality=90,1,Antique French Wooden Lamp with Hand-Painted Musical Instruments,FALSE,Antique French Wooden Lamp with Hand-Painted Music | Antique Furniture Co.,"This whimsical musical table lamp features delicately painted friezes of musical instruments, the French horn and the Violin on the base of the lamp, with ",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
spode-indian-tree-cup-and-saucer,Spode Indian Tree Cup and Saucer,"<p>This is an absolutely fabulous antique Copeland Spode Indian tree cup and saucer. It is a spectacular example of Spode porcelain with rust and orange hand-painted decoration in the l...</p><p><strong>Materials:</strong> Porcelain</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Antique 18th Century and Earlier English Porcelain</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"Indian, Antique, 18th Century, English, Porcelain",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-019,5000,shopify,1,deny,manual,150,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/282/XXX_8899_1323919064_1_1-01.jpg?width=2000&quality=90,1,Spode Indian Tree Cup and Saucer,FALSE,Spode Indian Tree Cup and Saucer | Antique Furniture Co.,This is an absolutely fabulous antique Copeland Spode Indian tree cup and saucer. It is a spectacular example of Spode porcelain with rust and orange hand-,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
chapman-granddaughter-clock-from-spain,Chapman Granddaughter Clock from Spain,"<p>This beautiful walnut granddaughter clock made in Spain is tall and slender and will fit in any corner location.</p><p><strong>Materials:</strong> Maple</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Early 20th Century Spanish Baroque Clocks</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Maple",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-020,5000,shopify,1,deny,manual,4200,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/397/8899_1349192112_5.jpg?width=2000&quality=90,1,Chapman Granddaughter Clock from Spain,FALSE,Chapman Granddaughter Clock from Spain | Antique Furniture Co.,This beautiful walnut granddaughter clock made in Spain is tall and slender and will fit in any corner location.,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
chapman-granddaughter-clock-from-spain,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload?width=2000&quality=90,2,Chapman Granddaughter Clock from Spain - Image 2,,,,,,,,,,,,,,,,,,,,
midcentury-kittinger-mahogany-drop-leaf-table,Midcentury Kittinger Mahogany Drop-Leaf Table,"<p>Licensed Colonial Williamsbur reproduction of 18th century table by Kittinger Furniture, nicely grained mahogany gate leg drop-leaf table, Queen Anne legs terminating in pad feet. 
...</p><p><strong>Materials:</strong> Mahogany</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Mid-20th Century American Queen Anne Drop-leaf and Pembroke Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,"20th Century, Mahogany",TRUE,Title,Default Title,,,,,ANT-TABLE-021,25000,shopify,1,deny,manual,3280,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/15_15/2076762/ORG_2076762.jpeg?width=2000&quality=90,1,Midcentury Kittinger Mahogany Drop-Leaf Table,FALSE,Midcentury Kittinger Mahogany Drop-Leaf Table | Antique Furniture Co.,"Licensed Colonial Williamsbur reproduction of 18th century table by Kittinger Furniture, nicely grained mahogany gate leg drop-leaf table, Queen Anne legs ",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
antique-french-rococo-gold-gilt-mirror,Antique French Rococo Gold Gilt Mirror,"<p>Beautiful gilt wall mirror very old hand-carved wood.</p><p><strong>Materials:</strong> Gold Leaf</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Antique 18th Century and Earlier French Table Mirrors</p>",Antique Furniture Co.,Home & Garden > Decor > Mirrors,Mirror,"Antique, 18th Century, French, Gold Leaf, Rococo",TRUE,Title,Default Title,,,,,ANT-MIRROR-022,5000,shopify,1,deny,manual,16000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/385/XXX_8899_1348613588_1.jpg?width=2000&quality=90,1,Antique French Rococo Gold Gilt Mirror,FALSE,Antique French Rococo Gold Gilt Mirror | Antique Furniture Co.,Beautiful gilt wall mirror very old hand-carved wood.,Home & Garden > Decor > Mirrors,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
