Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
round-seeded-glass-five-candle-candelabra-smokey-crystals-amp-metallic-floral,"Round Seeded Glass Five Candle Candelabra, Smokey Crystals &amp; Metallic Floral","<p>Mysterious Spanish style five light candelabra twinkles with gold &amp; silver patinaed iron flowers with smokey topaz crystals. Hangs from 28” chain. 

60 watt bulbs</p><p><strong>Materials:</strong> Iron</p><p><strong>Category:</strong> Late 20th Century European Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Iron",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-008,5000,shopify,1,deny,manual,2937,,TRUE,TRUE,,https://a.1stdibscdn.com/round-seeded-glass-five-candle-candelabra-smokey-crystals-metallic-floral-for-sale/f_8899/f_419959821729627383081/f_41995982_1729627383475_bg_processed.jpg?width=2000&quality=90,1,"Round Seeded Glass Five Candle Candelabra, Smokey Crystals &amp; Metallic Floral",FALSE,"Round Seeded Glass Five Candle Candelabra, Smokey  | Antique Furniture Co.","Mysterious Spanish style five light candelabra twinkles with gold &amp; silver patinaed iron flowers with smokey topaz crystals. Hangs from 28” chain. 

60",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
gold-toned-mid-century-style-blown-glass-lantern-laced-with-wrought-iron-girdle,Gold-toned Mid Century Style Blown Glass Lantern Laced with Wrought Iron Girdle,"<p>Classic shaped mid 70s style hanging fixture with iron-wrapped glass adorned with decorative gold foil leaves at crown and base. 
69"" chain</p><p><strong>Materials:</strong> Metal</p><p><strong>Category:</strong> Vintage 1960s North American Mid-Century Modern Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"Mid-Century, Modern, Metal",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-009,5000,shopify,1,deny,manual,2260,,TRUE,TRUE,,https://a.1stdibscdn.com/gold-toned-mid-century-style-blown-glass-lantern-laced-with-wrought-iron-girdle-for-sale/f_8899/f_419949921729623539374/f_41994992_1729623539745_bg_processed.jpg?width=2000&quality=90,1,Gold-toned Mid Century Style Blown Glass Lantern Laced with Wrought Iron Girdle,FALSE,Gold-toned Mid Century Style Blown Glass Lantern L | Antique Furniture Co.,"Classic shaped mid 70s style hanging fixture with iron-wrapped glass adorned with decorative gold foil leaves at crown and base. 
69"" chain",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
hollywood-regency-hans-k-gl-style-mid-century-gilded-bronze-rose-chandelier,Hollywood Regency Hans Kögl Style Mid-Century Gilded Bronze Rose Chandelier,<p>Uniquely fashioned gilded bronze chandelier with twenty lighted and hand-crafted detailed roses. The fixture is hard-wired with ceiling mount. From a Palm Beach Estate this chandelie...</p><p><strong>Materials:</strong> Bronze</p><p><strong>Category:</strong> Vintage 1940s Hollywood Regency Chandeliers and Pendants</p>,Antique Furniture Co.,Home & Garden > Lighting,Lighting,"Mid-Century, Bronze, Regency, Hollywood",TRUE,Title,Default Title,,,,,ANT-LIGHTING-010,5000,shopify,1,deny,manual,9500,,TRUE,TRUE,,https://a.1stdibscdn.com/hollywood-regency-hans-kogl-style-mid-century-gilded-bronze-rose-chandelier-for-sale/f_8899/f_419944721729621763958/f_41994472_1729621764517_bg_processed.jpg?width=2000&quality=90,1,Hollywood Regency Hans Kögl Style Mid-Century Gilded Bronze Rose Chandelier,FALSE,Hollywood Regency Hans Kögl Style Mid-Century Gild | Antique Furniture Co.,Uniquely fashioned gilded bronze chandelier with twenty lighted and hand-crafted detailed roses. The fixture is hard-wired with ceiling mount. From a Palm ,Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
clawfoot-folding-oak-demi-lune-table,Clawfoot Folding Oak Demi-Lune Table,"<p>Beautiful, richly patinaed, carved oak demi lune, draped with tulip &amp; acanthus leaves, stands upon cabriole legs and opens into a table for two or four! An investment to enjoy!</p><p><strong>Materials:</strong> Oak</p><p><strong>Category:</strong> Antique 1890s American Queen Anne Demi-lune Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,"Antique, Oak",TRUE,Title,Default Title,,,,,ANT-TABLE-011,25000,shopify,1,deny,manual,9800,,TRUE,TRUE,,https://a.1stdibscdn.com/clawfoot-folding-oak-demi-lune-table-for-sale-picture-2/f_8899/f_418980821729026384613/TK_Demilume_Table02_master.jpg?width=2000&quality=90,1,Clawfoot Folding Oak Demi-Lune Table,FALSE,Clawfoot Folding Oak Demi-Lune Table | Antique Furniture Co.,"Beautiful, richly patinaed, carved oak demi lune, draped with tulip &amp; acanthus leaves, stands upon cabriole legs and opens into a table for two or four",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
clawfoot-folding-oak-demi-lune-table,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/clawfoot-folding-oak-demi-lune-table-for-sale/f_8899/f_418980821729026366916/f_41898082_1729026367282_bg_processed.jpg?width=2000&quality=90,2,Clawfoot Folding Oak Demi-Lune Table - Image 2,,,,,,,,,,,,,,,,,,,,
native-american-style-red-leather-banded-acanthas-leafed-chandelier,Native American Style Red Leather Banded Acanthas Leafed Chandelier,"<p>Unique Native American style meets modern, ten light candelabra chandelier with crackled paint, red leather bands and polished steel orbs.</p><p><strong>Materials:</strong> Steel</p><p><strong>Category:</strong> 1990s North American Native American Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,Steel,TRUE,Title,Default Title,,,,,ANT-LIGHTING-012,5000,shopify,1,deny,manual,7800,,TRUE,TRUE,,https://a.1stdibscdn.com/native-american-style-red-leather-banded-acanthas-leafed-chandelier-for-sale/f_8899/f_420033421729690096340/f_42003342_1729690096854_bg_processed.jpg?width=2000&quality=90,1,Native American Style Red Leather Banded Acanthas Leafed Chandelier,FALSE,Native American Style Red Leather Banded Acanthas  | Antique Furniture Co.,"Unique Native American style meets modern, ten light candelabra chandelier with crackled paint, red leather bands and polished steel orbs.",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
antique-two-tier-scroll-bronze-overscale-chandelier-gold-foil-acanthus-leafves,"Antique Two Tier Scroll Bronze Overscale Chandelier, Gold Foil Acanthus Leafves","<p>Built for a Castle entrance, this large scale patinated chandelier commands attention with its bold forged spirals &amp; gilt foil covered acanthus leaves. Fourteen candles wired for ele...</p><p><strong>Materials:</strong> Iron, Bronze</p><p><strong>Category:</strong> 20th Century European French Provincial Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,"20th Century, Antique, French, Iron, Bronze",TRUE,Title,Default Title,,,,,ANT-LIGHTING-013,5000,shopify,1,deny,manual,11000,,TRUE,TRUE,,https://a.1stdibscdn.com/overscale-antique-iron-chandelier-gold-foil-acanthus-leafves-for-sale/f_8899/f_420035221729690536259/f_42003522_1729690536913_bg_processed.jpg?width=2000&quality=90,1,"Antique Two Tier Scroll Bronze Overscale Chandelier, Gold Foil Acanthus Leafves",FALSE,Antique Two Tier Scroll Bronze Overscale Chandelie | Antique Furniture Co.,"Built for a Castle entrance, this large scale patinated chandelier commands attention with its bold forged spirals &amp; gilt foil covered acanthus leaves.",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
taupe-amp-peach-hat-twenty-light-brass-chandelier,Taupe &amp; Peach Hat Twenty Light Brass Chandelier,"<p>Taupe colored fabric hats with peach interiors upon a voluminous, twenty candlestick spiral burnished brass chandelier.</p><p><strong>Materials:</strong> Brass</p><p><strong>Category:</strong> Vintage 1980s North American American Classical Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,Brass,TRUE,Title,Default Title,,,,,ANT-LIGHTING-014,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/taupe-peach-hat-twenty-light-brass-chandelier-for-sale-picture-2/f_8899/f_419961021734052377599/f_41996102_1734052378041_bg_processed.jpg?width=2000&quality=90,1,Taupe &amp; Peach Hat Twenty Light Brass Chandelier,FALSE,Taupe &amp; Peach Hat Twenty Light Brass Chandelie | Antique Furniture Co.,"Taupe colored fabric hats with peach interiors upon a voluminous, twenty candlestick spiral burnished brass chandelier.",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
taupe-amp-peach-hat-twenty-light-brass-chandelier,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/taupe-peach-hat-twenty-light-brass-chandelier-for-sale/f_8899/f_419961021729628329430/f_41996102_1729628329966_bg_processed.jpg?width=2000&quality=90,2,Taupe &amp; Peach Hat Twenty Light Brass Chandelier - Image 2,,,,,,,,,,,,,,,,,,,,
opalescent-art-nouveau-tiffany-style-stained-glass-bird-chandelier,"Opalescent Art Nouveau Tiffany Style Stained Glass, Bird Chandelier","<p>Crafted in the Art Nouvea period and style of Louis Comfort Tiffany, this bronze beaded single bulb stained glass hanging lamp, is lush with opalescent, nature-toned, warm colors des...</p><p><strong>Materials:</strong> Stained Glass</p><p><strong>Category:</strong> Vintage 1910s Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,Stained Glass,TRUE,Title,Default Title,,,,,ANT-LIGHTING-015,5000,shopify,1,deny,manual,8000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/f_8899/f_420038521754483356974/f_42003852_1754483357396_bg_processed.jpg?width=2000&quality=90,1,"Opalescent Art Nouveau Tiffany Style Stained Glass, Bird Chandelier",FALSE,Opalescent Art Nouveau Tiffany Style Stained Glass | Antique Furniture Co.,"Crafted in the Art Nouvea period and style of Louis Comfort Tiffany, this bronze beaded single bulb stained glass hanging lamp, is lush with opalescent, na",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
19th-century-country-french-oversized-cream-amp-patinated-kitchen-cupboard,19th Century Country French Oversized Cream &amp; Patinated Kitchen Cupboard,"<p>Charming French kitchen cupboard, sweetly carved by hand with flowers, heart &amp; diamond. Scalloped shelf tops &amp; corner cabinets, with brass escutcheon pulls. Diminutive Queen Anne fee...</p><p><strong>Materials:</strong> Fruitwood</p><p><strong>Category:</strong> Antique 1890s French French Provincial Cupboards</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, French, Fruitwood",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-016,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/19th-century-country-french-oversized-cream-patinated-kitchen-cupboard-for-sale/f_8899/f_418980421729025995966/f_41898042_1729025996436_bg_processed.jpg?width=2000&quality=90,1,19th Century Country French Oversized Cream &amp; Patinated Kitchen Cupboard,FALSE,19th Century Country French Oversized Cream &amp;  | Antique Furniture Co.,"Charming French kitchen cupboard, sweetly carved by hand with flowers, heart &amp; diamond. Scalloped shelf tops &amp; corner cabinets, with brass escutche",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
canton-chinese-teapot-with-lid,Canton Chinese Teapot with Lid,"<p>Beautiful hand-painted, floral paneled ceramic teapot from China with contrasting dish lid gives pause to one as to how this cherished pot was loved enough to justify the makeshift t...</p><p><strong>Materials:</strong> Porcelain</p><p><strong>Category:</strong> Antique 19th Century Chinese Ceramics</p>",Antique Furniture Co.,Home & Garden > Decor > Vases,Decorative Vessel,"19th Century, Antique, Chinese, Porcelain",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-017,5000,shopify,1,deny,manual,1040,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/40_13/org__p9y67770/ORG_ORG__P9Y6777.jpg?width=2000&quality=90,1,Canton Chinese Teapot with Lid,FALSE,Canton Chinese Teapot with Lid | Antique Furniture Co.,"Beautiful hand-painted, floral paneled ceramic teapot from China with contrasting dish lid gives pause to one as to how this cherished pot was loved enough",Home & Garden > Decor > Vases,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
mexican-santa-fe-pine-chair-partners,Mexican Santa Fe Pine Chair Partners,"<p>Sturdy solid heart pine with deep carvings in a Santa Fe design made in Mexico. Great for the ranch, a front porch, table or stable. The style speaks for itself. 
Ye haw!!</p><p><strong>Materials:</strong> Pine</p><p><strong>Category:</strong> Vintage 1970s Mexican Rancho Monterey Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,Pine,TRUE,Title,Default Title,,,,,ANT-CHAIR-018,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/mexican-santa-fe-pine-chair-partners-for-sale/1121189/f_226659521719239185239/22665952_datamatics.jpg?width=2000&quality=90,1,Mexican Santa Fe Pine Chair Partners,FALSE,Mexican Santa Fe Pine Chair Partners | Antique Furniture Co.,"Sturdy solid heart pine with deep carvings in a Santa Fe design made in Mexico. Great for the ranch, a front porch, table or stable. The style speaks for i",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
cherry-gothic-gargoyle-chair-vicorian-era,Cherry Gothic Gargoyle Chair - Vicorian Era,<p>Hand-carved cherry chair with grotesque face from a Palm Beach family estate.</p><p><strong>Materials:</strong> Cherry</p><p><strong>Category:</strong> Antique 1880s North American Victorian Armchairs</p>,Antique Furniture Co.,Furniture > Chairs,Chair,"Victorian, Antique, Cherry",TRUE,Title,Default Title,,,,,ANT-CHAIR-019,10000,shopify,1,deny,manual,3800,,TRUE,TRUE,,https://a.1stdibscdn.com/cherry-gothic-gargoyle-chair-vicorian-era-for-sale/1121189/f_226658721718617916940/22665872_datamatics.jpg?width=2000&quality=90,1,Cherry Gothic Gargoyle Chair - Vicorian Era,FALSE,Cherry Gothic Gargoyle Chair - Vicorian Era | Antique Furniture Co.,Hand-carved cherry chair with grotesque face from a Palm Beach family estate.,Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
from-the-rush-limbaugh-collection-korhogo-cloth-from-ivory-coast-of-africa,From the Rush Limbaugh Collection Korhogo Cloth from Ivory Coast of Africa,"<p>This is a hand spun, hand woven and hand painted cotton cloth for which an entire village takes part in its creation. Women of the Korhoga Tribe spin the cotton, while the men weave ...</p><p><strong>Materials:</strong> Cotton</p><p><strong>Category:</strong> Antique 19th Century Primitive Tribal Art</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, Cotton",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-020,5000,shopify,1,deny,manual,5100,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesD/upload/8899/14/8899_1269671206_2.jpg?width=2000&quality=90,1,From the Rush Limbaugh Collection Korhogo Cloth from Ivory Coast of Africa,FALSE,From the Rush Limbaugh Collection Korhogo Cloth fr | Antique Furniture Co.,"This is a hand spun, hand woven and hand painted cotton cloth for which an entire village takes part in its creation. Women of the Korhoga Tribe spin the c",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
from-the-rush-limbaugh-collection-korhogo-cloth-from-ivory-coast-of-africa,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_3972511707398603111/397251_datamatics.jpg?width=2000&quality=90,2,From the Rush Limbaugh Collection Korhogo Cloth from Ivory Coast of Africa - Image 2,,,,,,,,,,,,,,,,,,,,
makrana-marble-box-from-agra-india-with-abalone-amp-carnelien-inlay,"Makrana Marble Box from Agra, India with Abalone &amp; Carnelien Inlay","<p>White Makrana marble, used to build the Taj Mahal, from Indian is the densest marble on the planet. This handmade octagonal shaped makrana marble box has rich abalone and carnelian i...</p><p><strong>Materials:</strong> Carnelian, Marble</p><p><strong>Category:</strong> 2010s Indian Agra Decorative Boxes</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"Indian, Carnelian, Marble",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-021,5000,shopify,1,deny,manual,8700,,TRUE,TRUE,,https://a.1stdibscdn.com/makrana-marble-box-from-agra-india-with-abalone-carnelien-inlay-for-sale/1121189/f_175758511580522747575/17575851_master.jpg?width=2000&quality=90,1,"Makrana Marble Box from Agra, India with Abalone &amp; Carnelien Inlay",FALSE,"Makrana Marble Box from Agra, India with Abalone & | Antique Furniture Co.","White Makrana marble, used to build the Taj Mahal, from Indian is the densest marble on the planet. This handmade octagonal shaped makrana marble box has r",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
